Transect	Treatment	Livestock density	Plot name	Replicate	Date First Harvested	Date First Reharvested	Date Second Reharvested	GrassNetReharvestBiomass1	DwarfShrubNetReharvestBiomass1	HerbNetReharvestBiomass1	ClimberNetReharvestBiomass1	GrassNetReharvestBiomass2	DwarfShrubNetReharvestBiomass2	HerbNetReharvestBiomass2	ClimberNetReharvestBiomass2
2	Control	Medium	B2Ex2Cp1P4	4	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	31.6	0	0	0	78.1	2	0	0
2	Control	Medium	B2Ex2Cp1P5	5	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	43.7	0	0	0	54.5	0	0	0
3	Exclosure	High	B3Ex1P1	1	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	47.7	0	0	0	31.7	0	5.9	0
3	Exclosure	High	B3Ex1P2	2	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	18.2	14.2	0	0	39.8	0	0	0
3	Exclosure	High	B3Ex1P3	3	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	22.5	0	0	0	12.1	0	29.9	0
3	Exclosure	High	B3Ex1P4	4	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	20	0	0	0	49	0	5.2	0
3	Exclosure	High	B3Ex1P5	5	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	16.7	0	35.1	0	31.8	0	20.5	0
3	Rodent Exclosure	High	B3Ex1Cex01	6	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	38.1	0	0	0	28.5	0	0	0
3	Rodent Exclosure	High	B3Ex1Cex02	7	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	15.9	0	0	0	83.4	0	4.9	0
3	Control	High	B3Ex1Cp1p1	1	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	11.1	0	9.9	0	24.6	0	9.8	0
3	Control	High	B3Ex1Cp1p2	2	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	6.6	0	17.2	0	12	0	21.9	0
3	Control	High	B3Ex1Cp1p3	3	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	0	42.2	0	0	8.2	0	32.2	0
